,eng_Latn,deu_Latn,cmn_Hani,tur_Latn,kaz_Cyrl,hun_Latn,fin_Latn,heb_Hebr,arb_Arab,mon_Cyrl,hin_Deva,other
176,0.5,0.0,0.06,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.2999999999999998
50,0.13,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43999999999999995
217,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.59,0.0,0.28
2,0.74,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1299999999999999
70,0.47,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003
203,0.12,0.0,0.19,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.4
177,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.1499999999999999
205,0.17,0.0,0.25,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.07,0.31999999999999984
141,0.0,0.5,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.38
136,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
120,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88
102,0.08,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
165,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.05999999999999994
229,0.39,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
28,0.14,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
98,0.22,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64
145,0.0,0.1,0.0,0.17,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.62
20,0.4,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
126,0.07,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41999999999999993
140,0.0,0.46,0.0,0.07,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.36
