,emb_cos_sim,eval_lang_encoded,script,family,word_order,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
587,0.9034451246261596,4,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
365,0.8356317281723022,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
249,0.8576359748840332,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
1942,0.9359499216079712,15,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
329,0.8634952306747437,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
827,0.9052184820175172,4,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0
778,0.9003875255584717,18,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0
1076,0.8453820943832397,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
1063,0.8640894889831543,15,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2428,0.8863322734832764,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0
1346,0.8988165855407715,19,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0
885,0.8700873851776123,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
571,0.922899842262268,11,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
368,0.8518036603927612,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0
2116,0.8629534840583801,9,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0
1974,0.8662346601486206,12,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
1933,0.9892745018005372,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
337,0.9424554705619812,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
568,0.8500383496284485,9,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
802,0.8028421401977539,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0
1902,0.8603860139846802,3,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2328,0.9066080451011658,8,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,0.0
431,0.8782978057861328,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0
525,0.9140022993087769,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
1391,0.9840887784957886,10,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0
584,0.8749492168426514,12,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
925,0.8546662926673889,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0
978,0.8905803561210632,8,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0
1000,0.8993597030639648,7,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0
1802,0.8695210218429565,11,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0
562,0.863207221031189,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2374,0.8747305870056152,5,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
815,0.8944892287254333,14,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0
2325,0.9293496012687684,14,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0
1109,0.8690192699432373,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
1993,0.8770498633384705,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,1.0,0.0
1841,0.9112909436225892,13,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0
247,0.8526914119720459,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
2154,0.9735403656959534,18,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
231,0.929771900177002,3,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
395,0.892135500907898,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0
731,0.9313202500343324,11,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,1.0
766,0.8391827344894409,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0
411,0.988151788711548,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0
2497,0.9010962247848512,4,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0
727,0.8430196046829224,9,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,1.0
2206,0.9426928758621216,7,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0
1406,0.9259122014045716,14,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0
2568,0.8677785396575928,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,1.0,0.0
367,0.8923749327659607,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0
2338,0.8571578860282898,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,1.0
2200,0.8913484215736389,13,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,1.0,0.0
1182,0.8665784001350403,3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0
580,0.7765262722969055,8,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
512,0.9255993366241456,3,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
723,0.804122805595398,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,1.0
1846,0.9114505052566528,7,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0
858,0.8953653573989868,18,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
2306,0.8805512189865112,17,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,1.0
1425,0.86667400598526,19,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1.0,0.0
1367,0.921900510787964,7,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0
1186,0.844890832901001,19,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0
237,0.8716102838516235,19,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
1673,0.8839701414108276,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0
1024,0.901382327079773,12,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0
2224,0.8701303005218506,17,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,1.0,0.0
1016,0.8774577379226685,9,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,0.0
463,0.9762727618217468,5,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0
2125,0.9062730073928832,14,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0
972,0.8840649127960205,14,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0
2218,0.9040009379386902,16,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0
1816,0.8637151718139648,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0
2244,0.8868216276168823,14,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,1.0,0.0
1374,0.9804019927978516,5,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0
1821,0.8862153887748718,3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0
2553,0.837059497833252,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,1.0
268,0.8418726921081543,16,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
21,0.6825422048568726,13,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
357,0.9083292484283448,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
1116,0.8619617223739624,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0
1103,0.9150105714797974,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0
1299,0.8919687271118164,16,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0
1083,0.8994718194007874,11,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2250,0.8764429092407227,8,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0
1717,0.8781613111495972,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0
1041,0.8545173406600952,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
1166,0.8688712120056152,14,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0
1335,0.851561427116394,12,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0
1183,0.8781441450119019,3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0
638,0.8992109298706055,10,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0
269,0.8708637356758118,16,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
1609,0.9177463054656982,18,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
1413,0.9022339582443236,12,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0
2520,0.8984543085098267,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,1.0,0.0
1728,0.8550375699996948,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0
1112,0.8821290135383606,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0
1926,0.9034240245819092,7,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
1861,0.9903484582901,15,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0
1878,0.8478301763534546,9,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0
1438,0.8550260066986084,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,1.0
1514,0.8101757764816284,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,1.0
58,0.7752203941345215,9,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
369,0.8374370336532593,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0
1465,0.8841490745544434,17,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1.0,0.0
138,0.524748682975769,14,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
1700,0.9039146900177002,15,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0
1766,0.8854814767837524,7,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0
1254,0.8209258317947388,12,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0
147,0.4653812646865845,4,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
1753,0.8505731821060181,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0
680,0.8919177055358887,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,1.0
2633,0.9542980194091796,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
1155,0.8622866272926331,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
1199,0.852043867111206,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0
806,0.859663724899292,9,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0
1478,0.8229532241821289,9,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,1.0
2586,0.8577110767364502,19,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2133,0.8111407160758972,12,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0
1772,0.9154384136199952,5,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0
100,0.5261415243148804,18,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
980,0.8853282332420349,12,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0
1619,0.8378876447677612,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0
2204,0.9771994352340698,7,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,1.0,0.0
