,eval_lang_encoded,script,family,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Step1,step_Step50+sbeam8
583,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0
116,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0
89,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0
420,19,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0
296,8,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,0.0
18,12,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
212,9,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
328,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
144,17,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,1.0
310,17,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0
280,19,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,0.0
551,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
370,17,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0
259,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0
301,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0
228,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
412,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
167,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
54,16,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0
565,9,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0
46,19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0
93,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0
545,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
108,8,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0
278,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0
610,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0
493,15,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0
449,15,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,1.0
469,7,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1.0,0.0,0.0
523,14,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0
298,4,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,0.0
527,12,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0
271,10,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0
349,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0
485,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0.0
69,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0
575,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0
415,14,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0
284,13,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,0.0
538,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
208,15,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
261,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0
149,14,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0
124,17,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0
453,9,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,1.0
479,14,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1.0,0.0,0.0
185,5,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0
374,11,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0
360,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0
587,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,0.0,0.0
546,11,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0
395,14,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1.0
31,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0
457,8,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
