,eng_Latn,fin_Latn,deu_Latn,cmn_Hani,hun_Latn,tur_Latn,mon_Cyrl,kaz_Cyrl,heb_Hebr,arb_Arab,kor_Hang,hin_Deva,other
203,0.53,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.15000000000000002
110,0.34,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3899999999999999
197,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.06999999999999995
35,0.24,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998
207,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.41999999999999993
131,0.0,0.0,0.16,0.0,0.0,0.09,0.19,0.27,0.0,0.0,0.0,0.0,0.29000000000000004
149,0.06,0.0,0.45,0.0,0.16,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.20999999999999996
102,0.18,0.07,0.41,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
49,0.41,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
219,0.35,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.06,0.0,0.23,0.0,0.06000000000000005
30,0.75,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998
139,0.28,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999993
101,0.17,0.08,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
195,0.55,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.1399999999999999
15,0.2,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000007
9,0.61,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18999999999999995
37,0.68,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999997
150,0.0,0.0,0.47,0.0,0.18,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.27000000000000013
6,0.7,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1200000000000001
43,0.38,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002
135,0.18,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050000000000000044
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.010000000000000009
127,0.0,0.0,0.35,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999996
14,0.62,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32000000000000006
153,0.0,0.0,0.11,0.0,0.0,0.06,0.27,0.25,0.0,0.0,0.0,0.0,0.31000000000000005
178,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.17000000000000004
1,0.59,0.07,0.12,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000013
182,0.53,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.22999999999999998
94,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74
86,0.23,0.07,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45999999999999996
59,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17000000000000004
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.010000000000000009
38,0.8,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999995
54,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999997
185,0.53,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.06,0.0,0.0,0.0,0.27
186,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.47
34,0.66,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999995
31,0.46,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998
193,0.33,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.09000000000000008
109,0.39,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32999999999999996
106,0.53,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
113,0.48,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
53,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999997
145,0.06,0.0,0.1,0.0,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.36
115,0.48,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21999999999999997
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.010000000000000009
234,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.49,0.0,0.0,0.0,0.0,0.20999999999999996
222,0.36,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.47
63,0.17,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999997
126,0.0,0.0,0.54,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.16999999999999993
183,0.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.3599999999999999
225,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.43,0.0,0.0,0.0,0.0,0.18999999999999995
82,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29000000000000004
98,0.3,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3500000000000001
45,0.64,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
58,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
181,0.5,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.11,0.0,0.0,0.0,0.24
189,0.0,0.0,0.0,0.32,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.10000000000000009
83,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
238,0.45,0.07,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.41999999999999993
159,0.07,0.25,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999999999988
163,0.08,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
141,0.37,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42999999999999994
71,0.55,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30999999999999994
7,0.33,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999999999988
217,0.33,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.12,0.0,0.15,0.0,0.05999999999999994
5,0.54,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999997
223,0.27,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.0,0.53
66,0.52,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999992
47,0.57,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3500000000000001
107,0.65,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15999999999999992
103,0.15,0.09,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3500000000000001
46,0.69,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22000000000000008
10,0.75,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17000000000000004
147,0.09,0.0,0.15,0.0,0.0,0.06,0.23,0.26,0.0,0.0,0.0,0.0,0.20999999999999996
122,0.31,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
111,0.43,0.0,0.29,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.21999999999999997
211,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.13,0.0,0.0,0.0,0.0,0.15000000000000002
218,0.41,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.17,0.0,0.09,0.0,0.09999999999999998
119,0.58,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17000000000000004
11,0.19,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06000000000000005
18,0.74,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998
79,0.56,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997
206,0.37,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.24,0.0,0.0,0.0,0.18000000000000005
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.10999999999999999
23,0.55,0.06,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799999999999999
97,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
214,0.35,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.09000000000000008
179,0.59,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.13000000000000012
201,0.27,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.10999999999999999
221,0.23,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.11,0.0,0.0,0.0,0.54
85,0.25,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45999999999999996
73,0.36,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000003
143,0.4,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
67,0.24,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000003
237,0.36,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54
78,0.65,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
65,0.36,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
118,0.5,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29000000000000004
29,0.65,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999995
77,0.65,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
233,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.45,0.0,0.0,0.0,0.0,0.18999999999999995
173,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.22,0.6,0.0,0.0,0.050000000000000044
50,0.54,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998
210,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.33,0.0,0.0,0.0,0.0,0.32000000000000006
227,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.13,0.0,0.0,0.0,0.0,0.06999999999999995
2,0.55,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997
70,0.65,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
199,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.16000000000000003
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.64,0.0,0.0,0.08999999999999997
202,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.13
138,0.07,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06000000000000005
133,0.08,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999999999999
155,0.0,0.0,0.14,0.0,0.0,0.1,0.18,0.34,0.0,0.0,0.0,0.0,0.24
117,0.52,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30999999999999994
99,0.46,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21999999999999997
162,0.11,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997
239,0.38,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
27,0.63,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999997
95,0.14,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
142,0.36,0.07,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
19,0.35,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998
123,0.51,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
137,0.26,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036
