,emb_cos_sim,eval_lang_encoded,script,family,word_order,script_lr,training_script_lr,cmn_Hani,deu_Latn,heb_Hebr,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
225,0.3733776211738586,14,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
82,0.971848726272583,3,1,1,1,1,1,0,1,0,0.0,0.0,0.0,1.0
98,0.7755662202835083,0,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
45,0.6074132919311523,17,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
58,0.7894496917724609,9,0,1,0,1,1,1,0,0,0.0,0.0,0.0,1.0
181,0.4411334097385406,13,0,1,1,0,1,0,0,1,0.0,0.0,1.0,0.0
189,0.4024710357189178,18,0,0,0,1,1,0,0,1,0.0,0.0,1.0,0.0
83,0.7984641194343567,3,1,1,1,1,1,0,1,0,1.0,0.0,0.0,0.0
238,0.4747483432292938,4,0,0,1,0,1,0,0,1,0.0,0.0,0.0,1.0
159,0.5197442770004272,4,1,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
163,0.6855134963989258,3,0,0,1,0,1,0,0,1,1.0,0.0,0.0,0.0
141,0.686809778213501,11,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
71,0.7246185541152954,8,0,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
7,0.7221182584762573,19,0,0,1,0,1,1,0,0,1.0,0.0,0.0,0.0
217,0.5014901161193848,9,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
5,0.6520296931266785,19,0,0,1,0,1,1,0,0,0.0,0.0,1.0,0.0
223,0.383232980966568,11,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
66,0.6562309265136719,14,0,1,0,1,1,1,0,0,0.0,0.0,0.0,1.0
47,0.6276907324790955,17,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
107,0.5757045745849609,7,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
103,0.5099847316741943,13,1,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
46,0.6345329284667969,17,0,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
10,0.7323696613311768,6,0,0,1,0,1,1,0,0,0.0,0.0,0.0,1.0
147,0.524748682975769,14,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
122,0.6483421325683594,15,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
111,0.6007211208343506,18,0,0,1,0,1,0,1,0,1.0,0.0,0.0,0.0
211,0.5740879774093628,10,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
218,0.5459016561508179,9,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
119,0.4966551661491394,16,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
11,0.7050711512565613,6,0,0,1,0,1,1,0,0,1.0,0.0,0.0,0.0
18,0.7636764645576477,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
79,0.6847875714302063,4,0,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
206,0.4082043170928955,17,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
175,0.7674503326416016,1,0,1,0,1,1,0,0,1,1.0,0.0,0.0,0.0
23,0.7261151075363159,13,0,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
97,0.7154271006584167,0,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
214,0.2129160463809967,2,0,0,1,0,1,0,0,1,0.0,0.0,0.0,1.0
179,0.3202823400497436,0,0,1,0,0,1,0,0,1,1.0,0.0,0.0,0.0
201,0.3694695234298706,15,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
221,0.3652674853801727,11,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
85,0.4219748973846435,19,0,1,1,0,1,0,1,0,0.0,0.0,1.0,0.0
73,0.7605811357498169,12,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
143,0.5775758624076843,11,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
67,0.7113081812858582,14,0,1,0,1,1,1,0,0,1.0,0.0,0.0,0.0
237,0.4267268776893616,4,0,0,1,0,1,0,0,1,0.0,0.0,1.0,0.0
78,0.649037778377533,4,0,0,1,1,1,1,0,0,0.0,0.0,0.0,1.0
65,0.6555038690567017,14,0,1,0,1,1,1,0,0,0.0,0.0,1.0,0.0
118,0.7585915923118591,16,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
29,0.7241194248199463,18,0,0,0,0,1,1,0,0,0.0,0.0,1.0,0.0
77,0.6635456085205078,4,0,0,1,1,1,1,0,0,0.0,0.0,1.0,0.0
233,0.4713685512542724,12,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
173,0.6653864979743958,1,0,1,0,1,1,0,0,1,0.0,0.0,1.0,0.0
50,0.7085402011871338,10,0,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
210,0.6019743084907532,10,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
227,0.5338140726089478,14,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
2,0.7342196702957153,3,0,0,1,1,1,1,0,0,0.0,0.0,0.0,1.0
70,0.6566790342330933,8,0,0,1,1,1,1,0,0,0.0,0.0,0.0,1.0
199,0.4087628722190857,16,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
174,0.5921531319618225,1,0,1,0,1,1,0,0,1,0.0,0.0,0.0,1.0
202,0.3163574635982513,15,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
138,0.2194358706474304,9,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
133,0.2347506433725357,2,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
155,0.6098600625991821,12,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
117,0.6623803377151489,16,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
99,0.5288528203964233,0,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
162,0.7574714422225952,3,0,0,1,0,1,0,0,1,0.0,0.0,0.0,1.0
239,0.408765971660614,4,0,0,1,0,1,0,0,1,1.0,0.0,0.0,0.0
27,0.6984260082244873,7,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
95,0.6001619696617126,1,0,0,1,0,1,0,1,0,1.0,0.0,0.0,0.0
142,0.6970932483673096,11,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
19,0.7194631695747375,0,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
123,0.5692157745361328,15,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
137,0.2927648425102234,9,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
