model,training,eval_lang,step,pred_langs,emb_cos_sim,eval_lang_encoded,script,family,script_lr,training_script_lr,arb_Arab,cmn_Hani,deu_Latn,guj_Gujr,heb_Hebr,hin_Deva,jpn_Jpan,kaz_Cyrl,mon_Cyrl,pan_Guru,tur_Latn,urd_Arab,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",urd_Arab,Step1,"{'cmn_Hani': 0.79, 'eng_Latn': 0.11}",0.8753520846366882,18,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",urd_Arab,Step50+sbeam8,"{'cmn_Hani': 0.74, 'eng_Latn': 0.15}",0.8767504692077637,18,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",urd_Arab,Base,"{'jpn_Jpan': 0.25, 'cmn_Hani': 0.55, 'eng_Latn': 0.11}",0.875221848487854,18,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",guj_Gujr,Step1,"{'cmn_Hani': 0.81, 'eng_Latn': 0.11}",0.8746283054351807,5,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",guj_Gujr,Step50+sbeam8,"{'cmn_Hani': 0.73, 'eng_Latn': 0.19}",0.8832488059997559,5,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",guj_Gujr,Base,"{'jpn_Jpan': 0.29, 'cmn_Hani': 0.51, 'eng_Latn': 0.11}",0.8705364465713501,5,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",sin_Sinh,Step1,"{'cmn_Hani': 0.81, 'eng_Latn': 0.1}",0.8752527832984924,16,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",sin_Sinh,Step50+sbeam8,"{'cmn_Hani': 0.78, 'eng_Latn': 0.15}",0.8418726921081543,16,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",sin_Sinh,Base,"{'cmn_Hani': 0.32, 'eng_Latn': 0.09, 'jpn_Jpan': 0.51}",0.8708637356758118,16,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",pan_Guru,Step1,"{'cmn_Hani': 0.8, 'eng_Latn': 0.09}",0.8311924934387207,15,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0
me5_cmn_jpn,"['cmn_Hani', 'jpn_Jpan']",pan_Guru,Step50+sbeam8,"{'cmn_Hani': 0.74, 'eng_Latn': 0.14}",0.8106852769851685,15,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0
